station_train_code,train_no
G1635,5l000G163550
G1636,58000G16360F
G1637,5l000G163760
G1638,58000G16380F
G1639,5l000G163953
G1641,56000G164170
G1642,58000G164209
G1643,4e000G164310
G1644,5n000G164401
G1647,4e000G164709
G1648,5n000G16480F
G1651,5l000G165141
G1652,58000G165207
G1653,5l000G165350
G1654,5n000G16540S
G1655,5l000G165502
G1656,5n000G16560R
G1657,5l000G165780
G1658,5n000G16580L
G1659,5l000G165905
G1660,5n000G16600O
G1661,5l000G166180
G1663,5c000G16630P
G1665,5l000G166590
G1666,65000G166604
G1667,5l000G166730
G1668,5n000G16680J
G1669,5l000G166931
G1670,5n000G16700E
G1672,58000G16720G
G1673,5l000G167340
G1674,5n000G16740K
G1675,5l000G1675C0
G1676,58000G16760B
G1677,5l000G167752
G1679,56000G167952
G1680,58000G168013
G1682,80000G16820O
G1684,58000G16840R
G1686,78000G16860D
G1688,5n000G16880N
G1689,5l000G168930
G1690,5y000G16900C
G1692,6c000G16920D
G1694,5n000G16940N
G1696,80000G16960F
G1698,58000G16980C
G17,2400000G170D
G170,5u0000G17004
G171,240000G17109
G172,560000G17200
G173,240000G17308
G174,5j0000G17400
G176,560000G17612
G177,240000G1770S
G178,560000G17801
G179,240000G1790K
G1702,76000G17020D
G1704,25000G17040J
G1709,25000G17090W
G1710,77000G171005
G1711,25000G17110W
G1712,4f000G17120A
G1713,25000G171309
G1714,8d000G171406
G1715,39000G17150A
G1716,5l000G171630
G1720,5l000G172010
G1722,4e000G172206
G1724,5l000G172403
G1726,39000G172604
G1728,5l000G172802
G1730,39000G173009
G1732,5j000G173250
G1734,47000G173405
G1736,5l000G173642
G1738,4e000G17380D
G1741,5l000G174140
G1742,6c000G17420A
G1743,5l000G174362
G1744,6c000G17440B
G1747,5l000G174704
G1748,6c000G174807
G1752,80000G175208
G1754,5n000G17540B
G1755,76000G175509
G1756,5n000G175602
G1759,5u000G17590F
G1761,77000G176106
G1763,38000G176303
G1764,5l000G176421
G1768,5l000G176805
G1770,4r000G177005
G1772,5l000G177250
G1774,6c000G177404
G1776,5l000G177660
G1778,6c000G177809
G1781,5l000G178130
G1782,6c000G17820A
G1786,5l000G178650
G1788,4e000G17880M
G1791,56000G179020
G1792,4e000G179203
G1793,39000G179303
G1794,56000G179401
G18,5l00000G1840
G180,5j0000G18002
G181,240000G1810Y
G182,5e0000G18201
G183,240000G1830Z
G184,5j0000G18401
G185,240000G1850P
G187,240000G1870O
G189,240000G1890S
G1801,38000G180109
G1802,5l000G180206
G1806,5l000G180660
G1808,38000G180809
G1810,5l000G181080
G1812,3b000G181208
G1813,38000G181309
G1814,5l000G181440
G1817,87000G181702
G1818,5l000G181814
G1822,5l000G182250
G1824,40000G182401
G1826,5l000G1826B0
G1828,38000G18280E
G1830,4p000G183006
G1832,77000G18320J
G1836,77000G18360D
G1838,49000G18380G
G1844,4f000G18440L
G1846,49000G18460G
G1848,6c000G18480G
G1850,49000G18500I
G1851,49000G185107
G1852,38000G185205
G1855,49000G185502
G1856,4f000G18560L
G1862,56000G186290
G1864,27000G186410
G1866,5e000G186680
G1868,38000G18680G
G1870,56000G187053
G1872,38000G18720B
G1874,56000G187480
G1876,8d000G187608
G1878,5i000G187814
G1880,4f000G18800F
G1882,50000G188200
G1884,4f000G188420
G1887,5l000G188720
G1888,77000G188807
G1889,38000G188901
G1890,56000G189041
G1894,5j000G189490
G1896,4f000G18960K
G1898,56000G189870
G19,2400000G190O
G190,5j0000G19002
G191,240000G1910R
G192,560000G19200
G193,240000G19300
G194,5j0000G19402
G195,240000G1950W
G196,5e0000G19610
G197,240000G1970Q
G198,4z0000G19806
G1900,4f000G19000J
G1902,58000G19020K
G1904,8d000G190416
G1905,38000G19050A
G1906,58000G19060L
G1907,87000G190702
G1909,4p000G190902
G1914,4f000G19140E
G1918,4f000G19180M
G1920,5l000G192050
G1922,4f000G19220G
G1924,5l000G192460
G1926,4f000G19260O
G1928,5l000G192834
G1932,5l000G193240
G1936,5l000G193690
G1938,4f000G19380O
G1940,5l000G194005
G1942,4f000G19420G
G1943,87000G194301
G1944,56000G194410
G1947,38000G194702
G1948,5l000G194801
G1952,5q000G195204
G1954,27000G195419
G1956,5l000G195680
G1958,27000G19580D
G1961,38000G196107
G1962,5e000G196220
G1963,38000G196303
G1964,5j000G196430
G1965,38000G196503
G1966,5j000G196690
G1967,38000G196700
G1968,56000G196800
G1970,5l000G197090
G1972,8d000G197209
G1974,5l000G197490
G1976,77000G19760I
G1978,56000G197830
G1980,8d000G198011
G1983,76000G19830C
G1984,5j000G198450
G1986,5l000G198630
G1988,38000G198802
G1991,38000G19910B
G1992,5j000G199260
G1996,42000G199603
G1998,49000G199803
G20,5l00000G2050
G201,240000G20152
G202,490000G20200
G203,240000G20320
G204,490000G20402
G205,240000G2050N
G206,490000G20605
G207,240000G2070M
G208,490000G20804
G209,240000G20905
G2001,38000G20010I
G2002,4f000G20020O
G2021,38000G202109
G2022,8d000G202207
G2023,38000G20230B
G2024,8d000G202405
G2026,56000G202610
G2028,4f000G202801
G2031,38000G203103
G2032,42000G203207
G2035,4e000G20350D
G2036,5j000G203671
G2039,4e000G20390I
G2040,5j000G2040A0
G2043,38000G204315
G2045,38000G20450B
G2046,5n000G20460L
G2056,6y000G205603
G2058,4p000G20580H
G2066,71000G206605
G2068,47000G206803
G2070,38000G20700C
G2072,49000G207209
G2074,38000G207406
G2076,49000G207607
G2082,4e000G20820C
G2084,49000G20840C
G2088,76000G20880I
G2090,49000G20900D
G2094,49000G20940F
G2096,8d000G209606
G21,2400000G210B
G210,490000G21020
G211,240000G21101
G212,490000G21201
G213,240000G21301
G214,490000G21410
G219,240000G2190O
G2105,6c000G21050A
G2108,78000G21080B
G2112,80000G211204
G2114,80000G211403
G2115,6c000G211507
G2116,78000G211603
G2117,6c000G211710
G2121,6c000G212105
G2122,80000G21220E
G2123,6c000G212303
G2125,6c000G212507
G2126,80000G212607
G2131,6c000G213103
G2133,64000G213303
G2137,64000G213704
G2138,6i000G213805
G2141,5l000G214100
G2143,64000G214301
G2151,6c000G21510F
G2153,77000G215307
G2161,6c000G21610S
G2163,76000G21630O
G2165,5u000G216501
G2167,76000G216701
G2181,6c000G218107
G2183,76000G218306
G2185,56000G218520
G2187,76000G218708
G2189,5l000G218920
G2191,76000G219109
G2193,5l000G219360
G2195,76000G219506
G22,5l00000G2220
G220,490000G22003
G222,550000G22240
G228,490000G2280D
G2201,38000G220106
G2203,38000G22030C
G2204,76000G22040B
G2205,38000G22050B
G2206,77000G22060A
G2207,5l000G220740
G2208,76000G220805
G2210,76000G221009
G2211,38000G221107
G2212,76000G221208
G2213,38000G221309
G2214,76000G22140A
G2217,38000G221708
G2218,76000G221809
G2233,4f000G223303
G2234,77000G223404
G2241,4f000G224100
G2242,77000G224200
G2251,38000G225110
G2253,87000G225310
G2255,38000G225503
G2256,87000G225720
G2259,49000G225903
G2261,87000G226114
G2268,6i000G226803
G2270,6c000G227005
G2277,76000G22770A
G2278,5n000G22780B
G2281,38000G228103
G2282,6i000G228203
G2285,4e000G228503
G2286,57000G228607
G2293,4e000G22930D
G2294,58000G22940D
G2296,5n000G229609
G2298,4f000G22980A
G23,2400000G2330
G232,490000G2320O
G234,5l0000G234B1
G2301,76000G230109
G2302,5j000G2302F0
G2305,78000G230504
G2306,5j000G2306C0
G2312,5j000G231270
G2314,6c000G23140C
G2316,5j000G231640
G2318,6c000G23180B
G2322,5j000G2322C0
G2324,5u000G23241C
G2332,5j000G233250
G2334,78000G23340C
G2335,5l000G2335C0
G2336,78000G23360C
G2338,58000G23380E
G2340,71000G234007
G2343,5e000G234360
G2344,71000G23440K
G2347,5j000G234730
G2348,6c000G234807
G2351,4e000G235100
G2352,5j000G235200
G2357,5e000G235701
G2358,5u000G23580D
G2363,5e000G236360
G2364,78000G23640C
G2365,5l000G236570
G2366,62000G23660F
G2371,76000G23710E
G2372,5n000G23720G
G2379,56000G237950
G2380,5n000G23800I
G2381,56000G238150
G2382,5u000G238210
G2389,56000G238952
G2390,4f000G23900B
G2395,56000G239550
G2397,38000G239707
G24,5l00000G2410
G242,580000G2420E
G244,490000G2440N
G246,5i0000G24660
G248,490000G2480H
G2457,24000G245704
G2458,33000G245803
G2459,24000G245905
G2460,33000G246002
G2461,24000G246101
G2462,33000G246203
G2463,24000G246304
G2464,33000G246404
G2465,24000G246502
G2466,33000G246603
G2467,24000G246705
G2468,33000G246804
G2469,24000G246904
G2470,33000G247002
G2471,24000G247105
G2472,33000G247203
G2473,24000G247304
G2474,33000G247405
G2475,24000G247510
G2476,33000G247604
G2477,24000G247702
G2478,33000G247805
G2481,24000G248104
G2482,33000G248220
G2483,24000G248320
G2484,33000G248410
G2485,24000G248502
G2486,33000G248620
G2491,24000G249105
G2492,33000G249202
G2493,24000G249304
G2494,33000G249405
G2495,24000G249503
G2496,33000G249605
G25,2400000G2504
G254,560000G254C0
G256,490000G2560B
G258,4e0000G2580J
G2531,24000G253103
G2532,28000G253202
G2533,24000G253301
G2534,28000G253402
G2535,24000G253501
G2536,28000G253602
G2537,24000G253701
G2538,28000G253803
G2539,24000G253904
G2540,28000G254002
G2541,24000G254101
G2542,28000G254202
G2551,24000G255103
G2552,5i000G255201
G2553,24000G255309
G2554,53000G255411
G2555,24000G255500
G2556,52000G255600
G2557,24000G255710
G2558,50000G255801
G2561,24000G256104
G2562,52000G256235
G2563,24000G256300
G2564,5i000G256400
G2565,24000G25650K
G2566,52000G256600
G2568,59000G256800
G2571,24000G257102
G2572,5l000G257200
G2573,24000G257300
G2575,24000G257502
G2577,24000G257707
G2578,5s000G257810
G2580,48000G258001
G2581,24000G258106
G2582,5f000G258200
G2584,5f000G258410
G2585,24000G258502
G2586,5f000G258600
G2587,24000G258705
G2588,55000G258800
G2589,24000G258901
G2590,5f000G259000
G2595,24000G259507
G2596,59000G259611
G26,5500000G2610
G260,490000G2600F
G261,250000G26100
G263,250000G26302
G264,5l0000G26400
G265,250000G2650D
G266,550000G26602
G267,250000G26706
G268,5l0000G26800
G2602,27000G260208
G2604,12000G260409
G2606,27000G26060A
G2608,25000G260807
G2609,25000G26090B
G2610,27000G261007
G2612,5l000G261240
G2614,38000G261405
G2616,55000G261620
G2618,38000G261801
G2622,1g000G262201
G2624,56000G262401
G2625,1g000G26250B
G2626,4e000G26260E
G2630,12000G263006
G2632,5f000G263231
G2634,04000G263404
G2636,47000G263601
G2641,4p000G264110
G2642,5f000G264231
G2644,0h000G264400
G2646,5l000G264600
G2649,47000G264902
G2650,12000G265002
G2652,12000G265207
G2654,49000G265408
G2656,0h000G265602
G2658,5f000G265811
G2661,4p000G266103
G2662,5l000G266210
G2663,4p000G266301
G2664,39000G266400
G2668,52000G266802
G2670,49000G267006
G2672,5f000G267223
G2674,38000G267405
G2676,48000G267611
G2678,4f000G267806
G2680,78000G268001
G2682,5f000G268220
G2684,49000G268407
G2686,8d000G268605
G2688,5f000G268805
G2690,78000G269001
G2693,38000G269301
G2694,6i000G269406
G2697,4p000G269702
G2698,6i000G269804
G27,2400000G2710
G270,5l0000G27018
G271,250000G27103
G272,490000G27202
G276,6c0000G2760P
G278,490000G2780P
G279,4p0000G2790F
G2703,4e000G270302
G2704,6i000G270402
G2705,4e000G270505
G2706,65000G270603
G2707,4e000G270703
G2708,6i000G270800
G2709,4e000G270902
G2710,6i000G271001
G2711,4e000G271103
G2712,6i000G271203
G2721,5u000G272100
G2722,6i000G272204
G2723,5u000G272303
G2724,65000G272403
G2725,5u000G272501
G2726,6i000G272601
G2727,5u000G272701
G2728,6i000G272801
G2729,5u000G272901
G2730,6i000G273007
G2731,5u000G273102
G2732,65000G273201
G2733,5u000G273302
G2734,65000G273402
G2735,57000G273509
G2736,65000G273600
G2737,57000G273710
G2738,65000G273803
G2739,5u000G273904
G2740,6i000G274002
G2741,5u000G274101
G2742,6i000G274200
G2743,57000G274302
G2744,6i000G27440L
G2745,5u000G27450A
G2746,6i000G274600
G2747,57000G274702
G2748,6i000G274801
G2749,5u000G274902
G2750,6i000G275000
G2751,57000G275102
G2752,65000G275203
G2755,57000G275508
G2756,6i000G275608
G2757,65000G275701
G2759,57000G275901
G2761,5y000G276101
G2762,6i000G276203
G2763,57000G276306
G2764,6i000G276401
G2765,57000G276503
G2766,6i000G276602
G2767,57000G276703
G2768,65000G276801
G2769,57000G276904
G2770,65000G277005
G2772,6i000G277200
G2774,5w000G277403
G2775,65000G277500
G2777,57000G277703
G2781,5l000G278120
G2782,65000G278204
G2784,55000G278402
G2786,6i000G278601
G2788,55000G278820
G2790,65000G279005
G2793,5i000G279312
G2794,6i000G279401
G2795,5i000G279530
G2796,65000G279602
G28,5l00000G2810
G280,6i0000G2800D
G282,560000G282C0
G284,490000G2840J
G288,6c0000G2880T
G2801,76000G280107
G2802,80000G280207
G2803,76000G280308
G2804,80000G28040A
G2805,26000G280504
G2806,56000G280640
G2808,5e000G280831
G2810,26000G28070A
G2811,26000G28110N
G2812,5l000G281270
G2815,26000G28150M
G2816,56000G281601
G2817,4e000G281700
G2818,5l000G281820
G2821,76000G282105
G2822,80000G282205
G2823,76000G282302
G2824,80000G282408
G2825,76000G282503
G2826,80000G282606
G2827,76000G282704
G2828,80000G282806
G2829,76000G282906
G2830,80000G283009
G2831,76000G283106
G2832,80000G283207
G2837,76000G283703
G2838,8c000G283808
G2841,77000G284102
G2842,8c000G284206
G2845,76000G284502
G2846,8c000G284605
G2849,77000G284906
G2850,8c000G285006
G2851,4f000G285105
G2852,80000G285205
G2856,6c000G285601
G2858,77000G285800
G2865,77000G286502
G2866,80000G286603
G2867,77000G286709
G2868,80000G28680A
G2869,77000G286909
G2870,80000G28700E
G2871,77000G28710C
G2872,80000G28720C
G2873,77000G287306
G2880,80000G28800B
G2881,77000G288107
G2882,80000G28820L
G2883,76000G288308
G2884,80000G28840D
G2885,76000G28850B
G2886,80000G28860C
G2887,76000G288708
G2890,80000G28900K
G2891,77000G289105
G2892,80000G289207
G2895,71000G289501
G2896,6i000G289603
G290,490000G2900O
G292,250000G2920J
G294,6c0000G2940C
G295,4p0000G29500
G296,5u0000G29605
G298,5l0000G29802
G2902,6i000G29020E
G2903,71000G29030D
G2904,6i000G29040E
G2905,71000G29050I
G2908,6i000G29080A
G2910,71000G29100A
G2911,71000G29110A
G2916,6i000G291608
G2918,6i000G291802
G2920,73000G292001
G2922,6i000G29220A
G2924,80000G292409
G2926,6i000G292606
G2928,78000G292801
G2929,78000G292903
G2930,6i000G293020
G2931,71000G293100
G2932,67000G293200
G2936,6c000G29360C
G2938,80000G29380A
G2956,6i000G295600
G2958,71000G295800
G2961,71000G296104
G2962,6i000G296204
G2963,76000G296310
G2964,6x000G296400
G2966,80000G29660D
G2969,78000G296909
G2971,64000G297102
G2973,76000G297301
G2981,78000G298101
G2982,80000G298204
G2983,64000G298304
G2985,76000G298500
G2987,64000G298703
G2988,80000G298809
G2989,64000G298902
G2991,64000G299103
G2992,78000G299201
G2993,64000G299304
G2994,78000G299401
G2995,64000G299504
G2996,78000G299601
G2997,64000G299702
G300,470000G30004
G301,240000G3010N
G302,580000G3020Q
G303,240000G3030C
G304,580000G3040U
G305,250000G30507
G306,6x0000G30610
G307,240000G3070T
G308,760000G3080J
G3001,58000G300107
G3002,6x000G300205
G3003,58000G300306
G3004,6x000G300404
G3005,58000G300509
G3006,6x000G300604
G3007,58000G300709
G3008,6x000G300805
G31,2400000G310R
G311,4p0000G31101
G312,770000G31200
G317,760000G31705
G318,490000G3180I
G319,770000G31904
G3101,38000G310103
G3103,5l000G310321
G3105,38000G310507
G3106,56000G310604
G3109,38000G310905
G3110,56000G311050
G3114,56000G311411
G3116,3b000G311603
G3117,38000G311702
G3118,56000G311801
G3119,39000G311902
G3120,55000G312020
G3123,4e000G312301
G3124,55000G312410
G3127,27000G312704
G3128,52000G312820
G3131,27000G313102
G3132,5l000G313204
G3135,27000G313503
G3136,5e000G313620
G3141,5i000G314120
G3142,6i000G314208
G3143,27000G314304
G3144,5l000G314403
G3147,27000G314702
G3148,48000G314810
G3152,5l000G315220
G3154,4f000G315406
G3156,6i000G315603
G3158,4f000G315809
G3160,56000G316040
G3162,4f000G316209
G3164,5l000G316450
G3166,8d000G316605
G3173,87000G317302
G3174,5l000G317430
G3176,5l000G317640
G3178,88000G317800
G3180,5l000G318030
G3182,8d000G318206
G3184,5u000G318406
G3186,8d000G318614
G3189,87000G318910
G3190,56000G319050
G3191,38000G319110
G3192,5j000G319200
G3196,56000G319630
G3198,4f000G319806
G32,5600000G3250
G320,6x0000G32003
G321,240000G32107
G322,5n0000G3220Q
G323,240000G3230S
G324,5n0000G3240U
G325,240000G3250P
G326,5n0000G32604
G329,250000G3290V
G3201,39000G320104
G3203,38000G320303
G3209,27000G320902
G3210,78000G321003
G3211,38000G321100
G3212,4r000G321202
G3215,26000G321501
G3219,38000G321902
G3220,4e000G322000
G3221,49000G322109
G3222,4r000G322209
G3226,49000G322609
G3228,4r000G322807
G3230,5l000G323011
G3232,4r000G323205
G3233,39000G323301
G3235,38000G323510
G3237,4e000G323701
G3238,56000G323820
G3242,56000G324200
G3244,39000G324400
G3246,56000G324600
G3248,4e000G324801
G3251,38000G325101
G3252,5l000G325230
G3255,4e000G325501
G3256,56000G325600
G3262,56000G326200
G3264,39000G326400
G3280,5l000G328030
G3282,38000G328207
G3284,5l000G328440
G3286,76000G328606
G3288,5l000G328860
G3290,77000G329008
G3292,5l000G329260
G3294,77000G329404
G3296,5l000G329610
G3298,4f000G329804
G33,2400000G3330
G330,5n0000G33005
G331,240000G3310G
G333,760000G33301
G335,240000G33504
G336,6i0000G33601
G337,240000G33709
G338,6e0000G33800
G339,240000G33921
G34,5600000G34C2
G340,6c0000G34001
G341,260000G34102
G342,6i0000G34200
G343,470000G34305
G344,5j0000G34442
G345,4p0000G3451C
G348,580000G3481N
G3401,38000G340101
G3402,77000G340200
G3403,38000G340300
G3404,77000G340401
G3405,38000G340507
G3406,77000G340602
G3407,38000G340700
G3408,77000G340800
G3409,38000G340901
G3410,77000G341006
G3411,38000G341101
G3412,77000G341200
G3421,38000G342101
G3423,76000G342301
G3425,38000G342502
G3427,76000G342702
G3451,39000G345101
G3452,77000G34520B
G3453,39000G345301
G3454,77000G345401
G3455,39000G345502
G3456,77000G345601
G3457,39000G345702
G3458,77000G345803
G3459,39000G34590A
G3460,77000G346002
G3461,76000G346102
G3463,39000G346303
G3465,76000G346502
G3467,39000G346705
G3471,39000G347101
G3472,80000G347202
G3473,38000G347302
G3474,80000G347402
G3492,0h000G349210
G3494,4r000G349400
G3496,77000G349601
G3498,12000G349802
G35,2400000G350P
G351,240000G3510I
G352,770000G35201
G3501,1g000G350102
G3503,24000G350310
G3505,1g000G350510
G3507,24000G350701
G3509,1g000G350901
G3511,24000G351110
G3513,1g000G351303
G3515,24000G351501
G3517,1g000G351701
G3519,24000G351910
G3521,1g000G352102
G3523,24000G352301
G3525,1g000G352501
G3527,24000G352710
G3529,1g000G352902
G3531,24000G353101
G3537,1g000G353700
G3539,24000G353900
G3551,24000G355100
G3552,1g000G355200
G36,5e00000G3610
G360,5l0000G36020
