station_train_code,train_no
C4820,6t000C482020
C4822,6t000C482220
C4824,6t000C482420
C4826,6t000C482620
C4828,6t000C482820
C4830,6t000C483020
C4832,6t000C483220
C4834,6t000C483420
C4836,6t000C483620
C4838,6t000C483820
C4840,6t000C484020
C4842,6t000C484220
C4844,6t000C484420
C4846,6t000C484620
C4848,6t000C484820
C4850,6t000C485020
C4852,6t000C485220
C4854,6t000C485420
C4856,6t000C485620
C4858,6t000C485820
C4860,6t000C486020
C4862,6t000C486220
C4864,6t000C486420
C4866,6t000C486620
C4868,6t000C486820
C4870,6t000C487020
C4872,6t000C487210
C4874,6t000C487410
C4876,6t000C487610
C4878,6t000C487810
C4880,6t000C488010
C4882,6t000C488210
C4884,6t000C488420
C4886,6t000C488610
C4888,6t000C488810
C4890,6t000C489010
C502,110000C50203
C503,110000C50303
C504,110000C50404
C505,110000C50503
C506,110000C50605
C507,110000C50704
C508,110000C50804
C509,110000C50902
C5001,39000C50010K
C5024,39000C502404
C5026,39000C502620
C51,7600000C5103
C510,110000C51001
C511,110000C51105
C512,110000C51201
C515,150000C51500
C516,120000C51600
C517,110000C51704
C518,110000C51802
C519,110000C51902
C52,7600000C5204
C521,110000C52100
C522,110000C52201
C527,110000C52710
C528,110000C52801
C529,110000C52902
C5220,58000C522002
C5227,5n000C522705
C5239,5u000C523905
C5240,5n000C52400A
C5260,5n000C52600J
C5261,5y000C52610H
C5263,5n000C526300
C5264,5n000C526403
C5266,5n000C526602
C53,7600000C5301
C530,110000C53003
C531,110000C53102
C532,110000C53201
C533,110000C53301
C534,110000C53402
C535,110000C53501
C536,110000C53602
C539,110000C53903
C5338,39000C533820
C540,110000C54003
C541,110000C5410C
C545,110000C54507
C546,110000C54608
C55,7600000C5501
C552,800000C55203
C554,840000C55406
C556,800000C55605
C558,840000C55820
C559,800000C55901
C5501,4e000C550140
C5502,39000C550240
C5503,4e000C550360
C5504,39000C550460
C5511,4e000C55110E
C5512,39000C551260
C5521,4e000C55210H
C5522,39000C55220G
C5551,76000C555101
C5552,76000C555200
C5553,76000C555303
C5554,76000C555401
C5555,76000C555520
C5556,76000C555610
C5557,76000C555702
C5558,76000C555802
C5559,76000C555920
C5560,76000C556001
C5561,76000C556102
