station,city,longitude,latitude
农安,长春,125.16768197505637,44.44235710624506
宁波,宁波,121.54282564022029,29.867603409667925
南部,南充,106.02072070634661,31.376586294812775
南充北,南充,106.07652137852376,30.86336123080642
南充,南充,106.09224675545923,30.81399110315102
南城,抚州,116.62304243838423,27.569832474740306
南岔,伊春,129.28640338624842,47.13931366535456
南丹,河池,107.56528308758982,24.981618949689942
宁德,宁德,119.59012352837628,26.67476293282072
宁东,银川,106.55303256680243,38.15245368307987
南丰,抚州,116.60744749541395,27.291557612357657
宁海,宁波,121.42676905989703,29.342256974487956
南湖东,武汉,114.32041737755901,30.519958102593147
讷河,齐齐哈尔,124.85340484200296,48.4867783639772
牛河梁,朝阳,119.40646201904569,41.20242793899954
内江北,内江,105.09158129708814,29.615172043766762
嫩江,黑河,125.25626575813207,49.18397574491203
南江,贵阳,106.97963963767502,26.899945196474913
牛家,哈尔滨,126.74326778916436,45.356447351738225
牛栏山,北京,116.65477105376186,40.20956895366175
宁陵县,商丘,115.32391742716356,34.58087234837178
奈曼,通辽,120.68374501689536,42.84696133373809
南平市,南平,118.10034627280292,27.479149200620327
宁强南,汉中,106.29545100758253,32.8276461355888
那曲,那曲,91.99761384786906,31.44876761818412
南通,南通,120.86679758151331,32.07436504034747
南通西,南通,120.77207602650533,32.10736101803993
宁武,忻州,112.32657529813787,39.013944032015694
南翔北,上海,121.31536958199008,31.287841848563783
南雄,韶关,114.31755302575901,25.15096375284617
宁乡,长沙,112.58727522082576,28.294851844579075
南阳,南阳,112.51857489580465,33.00415996650968
南阳东,南阳,112.66790399361143,32.957000148798365
纳雍,毕节,105.38129497481259,26.76207461407847
南阳寨,郑州,113.62376824948012,34.82065305927016
碾子山,齐齐哈尔,122.88887779509048,47.52187475502998
蒲城东,渭南,109.617088881646,34.994761818210705
平昌,巴中,107.0824155919735,31.558315119383366
平顶山,平顶山,113.31068012330704,33.72546035525162
平度,青岛,119.98501397596652,36.81356992363797
平度西,青岛,119.89079367543313,36.768282642599196
平顶山西,平顶山,113.09447604299609,33.82230007349072
普洱,普洱,100.94758093172078,22.777066988094262
平房,哈尔滨,126.68190400079408,45.59139684982618
盘锦北,盘锦,121.81345052285214,41.34204230704953
盘锦,盘锦,122.06937120501463,41.20420214185975
蒲江,成都,103.50352502833734,30.197411081841263
普兰店,大连,121.96695269890553,39.40727415934742
平凉,平凉,106.71423097531253,35.55676988829532
平凉南,平凉,106.83338410459758,35.489282436191004
蓬莱市,烟台,120.80806933167914,37.76345484247981
普宁,揭阳,116.20555998327073,23.27287600632421
平泉北,承德,118.71898602751249,41.044813983835205
皮山,和田,78.29154954625005,37.57092936543612
磐石,吉林,126.07518604362595,42.93363193197483
坪石,韶关,113.06035012088084,25.29056643894717
平山,哈尔滨,127.41236256352603,45.32751888486475
平潭,福州,119.78702095711009,25.55302301628559
莆田,莆田,119.07055790463427,25.35723767605106
萍乡北,萍乡,113.85444051346741,27.689202819246862
萍乡,萍乡,113.84779098659308,27.65330997093651
郫县,成都,103.91432930076645,30.814556581750754
郫县西,成都,103.90544568808663,30.79953765357336
平阳,温州,120.55178895108018,27.63158135077553
平遥古城,晋中,112.15568587995554,37.16291436138466
濮阳东,濮阳,115.03558408559006,35.717888889374784
平原东,德州,116.58946002115056,37.22336992930989
彭泽,九江,116.54948891375987,29.87214437354481
普者黑,文山,104.13871504634321,24.121619981323693
盘州,六盘水,104.57477904075502,25.79747697875836
彭州,成都,103.93145747158631,30.985083171922504
攀枝花南,攀枝花,101.75412597087688,26.474536998804872
彭州南,成都,103.94686996871263,30.94698381192428
庆安,绥化,127.51023645223023,46.89362323198956
青白江东,成都,104.23228291907323,30.900401965710298
清城,清远,113.07279901829509,23.659580001666924
蕲春,蕲春,115.45307893745749,30.248498097610344
青川,广元,105.34031141476873,32.19147740997934
青城山,成都,103.6129752004869,30.898186619741082
青岛,青岛,120.3191721273678,36.070141275076935
青岛北,青岛,120.38080693451006,36.17566146632762
千岛湖,杭州,119.19814100227447,29.741921028947402
启东,南通,121.65161296997168,31.862598953720205
青岛西,青岛,119.96160602081807,35.90731491693352
曲阜东,济宁,117.07541302915295,35.562111926079886
前锋,佳木斯,133.89241942116246,47.623652545451456
曲阜,济宁,117.03689512617392,35.58880131572958
琼海,琼海,110.49785047142497,19.246515070148625
清河城,邢台,115.69284548146459,37.069924605861125
秦皇岛,秦皇岛,119.59887861013023,39.971549859734914
清河,北京,116.32222383363163,40.0472208421746
曲靖北,曲靖,103.79001359834224,25.595374515253905
綦江东,綦江,106.6686900177017,29.030203003630614
黔江,黔江,108.79751956709852,29.4491369388932
曲靖,曲靖,103.79833379380347,25.53237550595869
前进镇,佳木斯,130.327359092573,46.80568999085779
邛崃,成都,103.49140724632993,30.417003412830585
清流,三明,116.82110766428062,26.220625579749584
齐齐哈尔,齐齐哈尔,124.00262086129469,47.34614600448869
齐齐哈尔南,齐齐哈尔,115.92269139353006,28.670467686217926
潜山,安庆,116.62198146535884,30.579054118921764
庆盛,广州,113.49780091933849,22.87211138244353
七台河,七台河,130.9088767153081,45.81798156311203
青铜峡,吴忠,105.9386807098841,37.92443903055222
七台河西,七台河,130.78724596959523,45.75250091850539
渠县,达州,107.01977450299897,30.811053630812875
沁县,长治,112.71167186348242,36.76477413560021
庆阳,庆阳,107.63462069743943,35.70177880007716
清远,清远,113.14092300475784,23.700109978173465
庆元,丽水,118.96807022903475,27.619744291319247
钦州东,钦州,108.67516334989696,21.985175548298223
乔庄东,北京,116.70360806162567,39.89967035718704
衢州,衢州,118.88748800278046,28.929638043902273
泉州,泉州,118.57337823385463,24.97929306262878
全州南,桂林,111.04879390662013,25.95935519988014
清镇西,贵阳,106.38713699637995,26.80621194139678
融安,柳州,109.41806119792837,25.191362002490493
瑞安,温州,120.58880102452063,27.773116015756667
荣昌北,荣昌,105.64289842737534,29.438321469504558
荣成,威海,122.41518136701637,37.15116859389001
如东,南通,121.1836809586355,32.45153111690053
瑞金,赣州,116.06217838663177,25.86918310510931
日喀则,日喀则,88.92265425360539,29.226029898073456
饶平,潮州,116.93939851006755,23.7173211281892
若羌,库尔勒,88.258716028829,39.009634101714404
日照西,日照,119.42675707611042,35.39671695581613
双城北,哈尔滨,126.27805333165406,45.431969714780905
舒城东,六安,117.05370996803188,31.490663874739337
莎车,喀什,77.2386320935917,38.38070874037921
沙城,张家口,115.52363727177813,40.40320646494316
双城堡,哈尔滨,126.29998043016946,45.40321568266581
邵东,邵阳,111.75449939129533,27.279817011825482
双峰北,娄底,112.02050049848071,27.56428049630962
双丰,伊春,127.76682349742164,46.97999872481567
绥芬河,牡丹江,131.14332700714598,44.41256010969888
韶关东,韶关,113.61060509473339,24.799937348573163
韶关,韶关,113.52178046627502,24.756492394391227
商河,济南,117.10585471644454,37.44329944856059
山海关,秦皇岛,119.77374599460236,40.00679404863847
沙河市,邢台,114.50344002860349,36.868100932095786
绥化,绥化,127.02353308963232,46.65018454569884
石河子,石河子,86.06913731098898,44.275252822842376
三家店,北京,116.12662158171707,39.957476654912654
三间房,齐齐哈尔,123.84947764812213,47.10526506870797
松江河,白山,127.4884361143131,42.19452156243813
水家湖,合肥,117.17598596659182,32.48890495063292
松江,上海,121.23423965883974,31.00589479021562
孙家,哈尔滨,126.68995398596068,45.70152459505149
三江南,柳州,109.58295640304924,25.73219759916054
松江南,上海,121.23673685832692,30.989168824307786
苏家屯,沈阳,123.36067010441428,41.668883948254596
舒兰,吉林,126.9610369968608,44.413985125487294
双流机场,成都,103.96335899516214,30.57597183226601
双龙湖,哈尔滨,128.50443751269339,45.83596227773244
绥棱,绥化,127.08896512399622,47.255435264342175
狮岭,广州,113.15496082495761,23.460516101116276
石林,昆明,103.29357170587768,24.763572801183475
双龙南,贵阳,106.79503219611082,26.48687038018655
商洛,商洛,110.02435302189086,33.828018405045015
石林西,昆明,103.24940804261358,24.66271901233567
胜利镇,哈尔滨,128.00028321810578,45.79443440190066
石门县北,常德,111.43999598489516,29.605147149261942
三明北,三明,117.81370722534645,26.381977311427494
三明,三明,117.59542096276604,26.235091004063918
嵩明,昆明,103.14376695535287,25.24604302815787
树木岭,长沙,113.08755916595523,28.251818487944462
三门峡南,三门峡,111.16709195266137,34.75496586179479
神木,榆林,110.46167401534682,38.942950107948235
三门县,台州,121.36940003614896,29.060887980080114
三门峡西,三门峡,111.08765344895575,34.69306739498833
三门峡,三门峡,111.2400513380457,34.76670565858757
商南,商洛,110.90784816892581,33.532842053280696
遂宁,遂宁,105.54824416743546,30.54818263621788
睢宁,徐州,117.94574099368374,33.95783609809264
宋,绥化,125.62736331007257,46.23250970870414
沙坪坝,重庆,106.46651971528718,29.56010030370633
四平东,四平,124.4444958242461,43.14498289483792
山坡东,武汉,114.3665724943228,30.09259317432065
四平,四平,124.3802615904496,43.17356579317791
沈丘北,周口,115.11385694806592,33.429331338950476
宿迁,宿迁,118.2884143054172,33.880122752495005
商丘,商丘,115.66454301891449,34.45230101191419
石泉县,安康,108.2586310453705,33.03480894734204
上饶,上饶,118.01333361638811,28.49601597599074
石人城,哈尔滨,126.90348704466959,46.30558306545964
鄯善北,吐鲁番,90.20318364419973,42.92413869352498
宿松东,安庆,116.18113040074033,30.159159367542046
神树,伊春,128.43379431823553,46.94953703976064
韶山南,湘潭,112.55433947812716,27.8942662810584
宿松,安庆,116.11062401821208,30.235411512934252
三穗,凯里,108.65792495699674,26.970586237556315
松桃,铜仁,108.97933920734398,28.082854064880976
汕头,汕头,116.76177260909404,23.378527619006732
汕尾,汕尾,115.4350970018609,22.817009015149477
绍兴北,绍兴,120.54517708011481,30.10533829713717
绍兴东,绍兴,120.85955140011707,30.060892758705315
松溪,南平,118.83421565563941,27.5405297014917
涉县,邯郸,113.6750014872918,36.58339223717736
绍兴,绍兴,120.58588828582701,30.020511252757867
三亚,三亚,109.52640097460126,18.23520297956622
