station,city
虢镇,宝鸡
盖州,营口
瓜州,酒泉
固镇,蚌埠
冠豸山南,龙岩
古丈西,吉首
海安,南通
怀安,张家口
惠安,泉州
惠安堡,吴忠
淮北北,淮北
鹤壁东,鹤壁
海北,绥化
鹤壁,鹤壁
会昌北,赣州
寒葱沟,佳木斯
河唇,湛江
汉川,孝感
红岛,青岛
横道河子东,牡丹江
化德,乌兰察布
河东里,酒泉
海东,海东
洪洞,临汾
海东西,海东
横峰,上饶
横沟桥东,咸宁
黄冈西,黄冈
洪河,佳木斯
惠环,惠州
花湖,黄石
厚街,东莞
涵江,莆田
获嘉,新乡
黄口,宿州
湖口,九江
怀来,张家口
海林北,牡丹江
浩良河,伊春
黄流,乐东
鹤立,佳木斯
哈拉苏,呼伦贝尔
虎门北,东莞
虎门东,东莞
黄梅,黄冈
虎门,东莞
洪梅,东莞
桦南东,桦南
化念,峨山
海宁,嘉兴
怀宁,安庆
惠农,石嘴山
和平北,河源
合浦,北海
横琴北,珠海
霍邱,六安
横琴,珠海
华容东,鄂州
怀仁,朔州
红寺堡北,吴忠
黑山北,锦州
黄石北,黄石
贺胜桥东,咸宁
汉寿,常德
衡山,衡阳
惠山,无锡
红山,伊春
汉寿南,常德
含山南,马鞍山
衡山西,衡阳
荷塘,湘潭
黑台,鸡西
黄桶北,安顺
徽县,陇南
红星,伊春
红兴隆,双鸭山
换新天,佳木斯
滑浚,安阳
海晏,海北州
红彦,呼伦贝尔
合阳北,渭南
河源北,河源
海阳北,烟台
汉阴,安康
花园口,大连
淮阳南,周口
花园,孝感
霍州东,临汾
黄州,黄冈
壶镇,丽水
化州,茂名
霍州,临汾
靖边,榆林
金宝屯,通辽
交城,吕梁
加查,加查
泾川,平凉
旌德,宣城
井店,邯郸
江都,扬州
尖峰,乐东
江华,永州
建湖,盐城
纪家沟,承德
锦界,榆林
金口河南,乐山
将乐,三明
江门东,江门
角美,漳州
莒南,临沂
莒南北,临沂
济宁北,济宁
济宁东,济宁
建宁南,建宁
建瓯东,南平
建瓯,南平
建瓯西,南平
金普,大连
建桥,梅州
江桥,齐齐哈尔
句容西,镇江
九三,黑河
建始,恩施
建水,蒙自
稷山,运城
京山,荆门
嘉善,嘉兴
嘉善南,嘉兴
吉水西,吉安
景泰,白银
金塔,酒泉
吉文,呼伦贝尔
嘉祥北,济宁
泾县,宣城
莒县,日照
嘉祥,济宁
郏县,平顶山
揭阳,揭阳
建阳,南平
姜堰,泰州
江油北,绵阳
巨野北,菏泽
揭阳机场,揭阳
江永,永州
靖远,白银
缙云,丽水
济源,济源
金月湾,东方
缙云西,丽水
胶州北,青岛
晋中,晋中
靖州,怀化
景州,衡水
胶州,青岛
克东,齐齐哈尔
昆都仑召,包头
开江,达州
喀喇其,呼伦贝尔
开平南,江门
葵潭,揭阳
克一河,呼伦贝尔
开远南,蒙自
昆玉,和田
冷坝,六盘水
来宾,来宾
灵璧,宿州
寮步,东莞
洛川东,延安
罗城,河池
乐昌,韶关
黎城,长治
临城,邢台
蓝村,青岛
乐东,乐东
林东,赤峰
乐都,海东
来凤,恩施
龙丰,惠州
禄丰南,楚雄
临高南,临高
临海,台州
拉哈,齐齐哈尔
滦河,唐山
临海南,台州
凌海南,锦州
六合镇,齐齐哈尔
罗江东,德阳
廉江,湛江
两家,白城
李家,黑河
龙江,齐齐哈尔
莲江口,佳木斯
利津南,东营
厉家寨,临沂
林口南,林口
路口铺,岳阳
老莱,齐齐哈尔
龙里北,都匀
沥林北,惠州
兰陵北,临沂
醴陵东,株洲
临澧,常德
零陵,永州
陆良,曲靖
卢龙,秦皇岛
芦庙,亳州
龙南,赣州
龙南东,赣州
六盘水东,六盘水
乐平市,景德镇
临清,聊城
礼泉南,咸阳
龙泉市,丽水
临泉,阜阳
乐山北,乐山
冷水江东,娄底
灵石,晋中
罗山,信阳
涟水,淮安
龙市,吉安
梁山,济宁
鲁山,平顶山
娄山关南,遵义
龙山镇,漳州
梨树镇,鸡西
轮台,库尔勒
龙塘镇,清远
灵武,灵武
岚县,吕梁
朗县,朗县
临湘,岳阳
滦县,唐山
林西,赤峰
朗乡,伊春
郎溪南,宣城
莱西南,青岛
莱阳,烟台
临沂东,临沂
临邑,德州
临颍,漯河
龙游南,衢州
龙游,衢州
鹿寨北,柳州
临淄北,淄博
临泽,张掖
雷州,湛江
六枝南,六盘水
临泽南,张掖
马鞍山,马鞍山
明城,吉林
毛陈,孝感
渑池,三门峡
明港东,信阳
墨江,墨江
马兰,库尔勒
汨罗东,岳阳
民乐,张掖
米林,米林
茂林,四平
汨罗,岳阳
牟平,烟台
民权北,商丘
眉山,眉山
明水河,兴安
蒙山,临沂
马山县,南宁
马踏,茂名
眉县东,宝鸡
美溪,伊春
麻阳,怀化
米易东,攀枝花
麻阳西,怀化
米脂,榆林
明珠,珠海
牛车河,常德
宁城,赤峰
宁都,赣州
宁洱,宁洱
南芬北,本溪
宁国,宣城
南华,楚雄
宁化,三明
内黄,安阳
内江东,内江
南靖,漳州
南江口,云浮
南朗,中山
南陵,芜湖
尼勒克,伊宁
南堡北,唐山
南头,中山
泥溪,宜宾
宁县,庆阳
内乡,南阳
宁乡西,长沙
娘子关,阳泉
南漳,襄阳
南召,南阳
南杂木,抚顺
蓬安,南充
磐安南,金华
普安县,兴义
平安驿,海东
屏边,蒙自
平坝南,安顺
普定,安顺
平果,百色
平湖,深圳
皮口,大连
屏南,宁德
平南南,贵港
朋普,蒙自
彭山北,眉山
彭山,眉山
彭水,彭水
屏山,宜宾
平台,白城
蓬溪,遂宁
平遥,晋中
平洋,齐齐哈尔
鄱阳北,九江
平邑,临沂
平原,德州
邳州东,徐州
平庄,赤峰
泡子,阜新
乾安,松原
迁安,唐山
秦安,天水
庆城,庆阳
蕲春南,蕲春
青岛机场,青岛
祁东,衡阳
青堆,大连
曲阜南,济宁
清河门北,阜新
齐河,德州
潜江,潜江
曲江,蒙自
全椒,滁州
秦家,绥化
清涧县,榆林
秦岭,宝鸡
青莲,绵阳
清水北,酒泉
青神,眉山
岐山,宝鸡
前山,珠海
确山,驻马店
清水,酒泉
清水县,天水
戚墅堰,常州
青田,丽水
犍为,乐山
祁县东,晋中
黔西,毕节
祁县,晋中
乾县,咸阳
青县,沧州
祁阳,永州
清原,抚顺
青州市北,潍坊
曲子,庆阳
青州市,潍坊
棋子湾,昌江
瑞昌,九江
瑞昌西,九江
如皋,南通
如皋南,南通
容桂,佛山
榕江,凯里
任丘,沧州
融水,柳州
乳山,威海
容县,玉林
饶阳,衡水
汝州,平顶山
施秉,凯里
石城东,赣州
商城,信阳
舒城,六安
遂昌,丽水
山城镇,通化
山丹,张掖
山丹马场,张掖
绥德,榆林
顺德,佛山
商都,乌兰察布
四道湾,赤峰
三都县,都匀
顺德学院,佛山
胜芳,廊坊
四方台,绥化
桑根达来,锡林郭勒
蜀河,安康
赛汗塔拉,锡林郭勒
四会,肇庆
三河县,廊坊
四合永,承德
畲江北,梅州
双吉,吉林
沙井西,深圳
疏勒河,酒泉
双辽,四平
石磷,鸡西
萨拉齐,包头
索伦,兴安
神木西,榆林
山南,山南
肃宁,沧州
神农架,神农架
苏尼特左旗,锡林郭勒
双牌,永州
遂平,驻马店
商丘东,商丘
沈丘,周口
商丘南,商丘
桑日,桑日
狮山北,佛山
三水北,佛山
松山湖北,东莞
狮山,佛山
泗水,济宁
山市,牡丹江
三水南,佛山
泗水南,济宁
双水镇,江门
石梯,达川
沙湾南,乐山
沙湾市,塔城
孙吴,黑河
歙县北,黄山
遂溪,湛江
寿县,淮南
始兴,韶关
随县,随州
歙县,黄山
泗县,宿州
水茜,三明
泗阳,宿迁
沭阳,宿迁
松阳,丽水
三阳,黄山
射阳,盐城
双洋,龙岩
绥阳,牡丹江
邵阳北,邵阳
山阴,朔州
上虞南,绍兴
三源浦,通化
三原,咸阳
上虞,绍兴
邵阳西,邵阳
绥中北,葫芦岛
深圳机场北,深圳
嵊州北,绍兴
神州,万宁
桑植,张家界
深州,衡水
松滋,荆州
十字门,珠海
师宗,曲靖
苏州园区,苏州
苏州新区,苏州
台安,鞍山
桐柏,南阳
太仓,苏州
桃村北,烟台
桐城东,安庆
郯城,临沂
桐城,安庆
桐城南,安庆
太仓南,苏州
桃村,烟台
田东北,百色
太谷东,晋中
土贵乌拉,乌兰察布
太谷西,晋中
太和北,阜阳
太和东,阜阳
唐河,南阳
唐海南,唐山
通化县,通化
谭家井,武威
唐家湾,珠海
铜陵北,铜陵
吐列毛杜,兴安
图里河,呼伦贝尔
天门,天门
太姥山,宁德
洮南,白城
太平川,松原
太平镇,双鸭山
台前,濮阳
图强,加格达奇
甜水堡,庆阳
台山,江门
桃山,伊春
唐山西,唐山
天台山,台州
通渭,定西
田心东,株洲
藤县,梧州
同心,吴忠
桐乡,嘉兴
田阳,百色
汤阴,安阳
桃源,常德
汤原,佳木斯
通远堡西,丹东
滕州,枣庄
天镇,大同
天祝,武威
天柱山,安庆
武安,邯郸
万安县,吉安
吴堡,榆林
五叉沟,兴安
吴川,湛江
温春,牡丹江
五大连池,黑河
文登东,威海
文登,威海
文地,玉林
武当山西,十堰
乌尔旗汗,呼伦贝尔
潍坊北,潍坊
五府山,上饶
王府,松原
威海北,威海
芜湖北,芜湖
芜湖南,芜湖
卫辉南,新乡
卫辉,新乡
乌兰,海西州
五龙背东,丹东
五莲,日照
望牛墩,东莞
乌奴耳,呼伦贝尔
万宁,万宁
万年,景德镇
吴桥,沧州
巫山,巫山
文水,吕梁
巍山,大理
武山,天水
五台山,忻州
无为,芜湖
瓦屋山,常州
武乡东,长治
威信,昭通
武乡,长治
闻喜,运城
卫星,鸡西
无锡新区,无锡
武义北,金华
武义,金华
五原,巴彦淖尔
韦庄,渭南
武陟,焦作
湾沚南,芜湖
新安县,洛阳
许昌北,许昌
项城,周口
兴城西,葫芦岛
下城子,牡丹江
西渡,衡阳
喜德西,西昌
襄汾,临汾
信丰,赣州
襄汾西,临汾
信丰西,赣州
新干,吉安
孝感,孝感
新干东,吉安
兴国西,赣州
夏格庄,青岛
宣化北,张家口
西湖东,惠州
新和,阿克苏
香河,廊坊
新华屯,大庆
新化,娄底
宣化,张家口
西华,周口
小河镇,安康
徐家店,烟台
峡江,吉安
新绛,运城
仙居南,台州
许家屯,大连
兴凯,鸡西
小榄,中山
香兰,佳木斯
西柳,鞍山
西林,伊春
新林,加格达奇
新立屯,锦州
兴隆县西,承德
西麻山,鸡西
咸宁北,咸宁
兴宁,梅州
咸宁,咸宁
兴平,咸阳
西平,驻马店
西平西,东莞
新青,伊春
浠水,浠水
徐水,保定
浠水南,浠水
杏树屯,大连
响水县,盐城
邢台,邢台
湘潭北,湘潭
仙桃西,仙桃
下台子,承德
小湾东,南涧
徐闻,湛江
西乌旗,兴安
修武西,焦作
新县,信阳
息县,信阳
湘乡,湘潭
萧县,宿州
新乡南,新乡
旬阳北,安康
咸阳北,咸阳
襄垣东,长治
兴业,玉林
新沂,徐州
新沂南,徐州
仙游,莆田
小扬气,加格达奇
襄垣,长治
夏邑县,商丘
新友谊,双鸭山
西哲里木,兴安
永安乡,鸡西
盐边,攀枝花
永城北,商丘
禹城东,德州
盐城大丰,盐城
盐池,吴忠
应城,孝感
宜城,襄阳
郓城,菏泽
晏城,德州
禹城,德州
阳澄湖,苏州
迎春,鸡西
虞城县,商丘
于都北,于都
英德,清远
云东海,佛山
永定,龙岩
阳东,阳江
永福南,桂林
阳高,大同
杨岗,鸡西
阳高南,大同
阳谷,聊城
友好,伊春
洋河,宿迁
元江,元江
余江,鹰潭
银浪,大庆
伊拉哈,黑河
鄢陵,许昌
义马,三门峡
云梦,孝感
沂南,临沂
云南驿,大理
银瓶,东莞
乐清东,温州
永庆,延边
杨桥,邵阳
永仁,楚雄
颍上北,阜阳
野三关,恩施
阳朔,桂林
云山,惠州
沂水,临沂
颍上,阜阳
偃师,洛阳
月山,焦作
雁石南,龙岩
榆社西,晋中
永寿西,咸阳
鹰手营子,承德
源潭,清远
玉田南,唐山
伊通,四平
烟筒屯,大庆
野象谷,景洪
阳西,阳江
云县,临沧
阳信,滨州
应县,朔州
攸县,株洲
永修,九江
攸县南,株洲
洋县西,汉中
云阳,云阳
酉阳,酉阳
弋阳,上饶
余姚,宁波
余姚北,宁波
阳邑,邯郸
杨源,三明
宜州,河池
银盏,清远
耀州,铜川
禹州,许昌
镇安,商洛
子长,延安
枝城,宜昌
邹城,济宁
诸城,潍坊
肇东,绥化
准格尔,鄂尔多斯
赵光,黑河
政和,南平
枝江北,宜昌
朱家沟,牡丹江
仲恺,惠州
珠琳,文山
扎鲁特,通辽
樟木头东,东莞
樟木头,东莞
扎囊,扎囊
中宁东,中卫
中宁,中卫
周宁,宁德
邹平,滨州
镇平,南阳
漳浦,漳州
张桥,渭南
枣强,衡水
庄桥,宁波
朱日和,锡林郭勒
中山北,中山
樟树东,宜春
昭山,湘潭
钟山西,贺州
支提山,宁德
张维屯,绥化
彰武,阜新
漳县,定西
镇西,白城
钟祥,荆门
正镶白旗,锡林郭勒
遵义南,遵义
竹园,蒙自
枣庄东,枣庄
卓资东,乌兰察布
子洲,榆林
涿州,保定
安溪东,泉州
保山,保山
北滩,白银
白银南,白银
茶卡,海西州
德化,泉州
独山东,都匀
大田北,三明
富阳西,杭州
古路,重庆
黄水,石柱县
杭州西,杭州
江北机场,重庆
靖远北,白银
绛帐,宝鸡
荔波,都匀
珞璜东,重庆
龙兴,重庆
明溪,三明
南安北,泉州
南彭,重庆
宁强,汉中
平川西,白银
秦王川,兰州
商洛北,商洛
水土,重庆
三元西,三明
统景,重庆
桐庐东,杭州
漾濞,漾濞
永春,泉州
银花,重庆
迎龙,重庆
永平县,永平
越西,西昌
扎罗木得,呼伦贝尔
二龙屯,兴安盟
哈日努拉,兴安盟
张台子,辽阳
雅鲁,呼伦贝尔
古城,齐齐哈尔
讷尔克气,呼伦贝尔
门达,白山
氡泉,白山
黄泥崴子,白山
四马架,佳木斯
凯北,鸡西
青水山,绥化
长发屯,佳木斯
申家店,佳木斯
扎音河,绥化
盘古,大兴安岭地区
岩山,呼伦贝尔
煤田,呼伦贝尔
牧原,呼伦贝尔
汇流河,呼伦贝尔
完工,呼伦贝尔
原林,牙克石
哈达阳,呼伦贝尔
哈力图,呼伦贝尔
恒地营,齐齐哈尔
鲁河,齐齐哈尔
虎尔虎拉,齐齐哈尔
柳毛,鸡西
连珠山,密山
舍伯吐,通辽
喇嘛山,呼伦贝尔
朱石寨,独山
星朗,独山
峰洞,黔南布依族苗族自治州
打羊,独山
学庄,黔南布依族苗族自治州
甲猫,黔南布依族苗族自治州
迤那,毕节
花土坡,毕节
柯柯,柯柯
饮马峡,大柴旦
乌图美仁,格尔木
金山卫,上海
春申,上海
亭林,上海
新桥,上海
车墩,上海
叶榭,上海
金山园区,上海
下仓,天津
上仓,天津
赛乌苏,锡林郭勒盟二连浩特
