start_station_id,end_station_id,running_time,train_no
675,114,11,G1218
1527,176,11,G1902
1871,594,11,D3804
1418,2091,11,D1624
1214,108,11,C9209
1651,1802,11,D1626
319,1630,11,D2234
690,750,11,D385
1023,1748,11,D385
1375,735,11,S6982
1807,854,11,G1321
1214,1096,11,C9208
213,225,11,G6387
1023,1044,11,G7525
277,373,11,D164
895,360,11,D164
2096,1036,11,G3246
1848,1646,11,G3251
521,2141,11,D1615
1199,397,11,G1294
538,854,11,G2364
2284,987,11,C936
361,1177,11,C953
1355,1389,11,G2602
910,1748,11,G7541
2281,1267,11,C970
1060,450,11,G3255
12,115,11,G8286
563,1751,11,G3531
1102,1605,11,D1112
1475,228,11,G137
1175,1373,11,G3465
677,2113,11,D2254
1044,1187,11,G7521
182,1393,11,G3531
2017,626,11,G6463
1200,2120,11,G190
1323,561,11,G8723
588,961,11,G7550
2184,572,11,G3210
299,1290,11,G7726
1449,1526,11,C9216
399,1785,11,C9803
2020,953,11,G7521
520,1965,11,D126
2306,2139,11,C9533
1575,1932,11,D2270
40,322,11,G7688
33,1955,11,C7671
1328,757,11,G8799
2289,255,11,G6305
2013,936,11,G2352
2205,1901,11,G1864
1187,2238,11,D2292
79,78,11,D8808
667,340,11,G8794
1019,1789,11,D1851
2252,1922,11,D3535
155,154,11,G2496
2271,937,11,G7792
839,1847,11,C880
63,530,11,G7784
415,665,11,C8211
1509,1705,11,G6355
2115,1320,11,G8762
40,200,11,G323
1919,2042,11,G626
486,1365,11,G6311
1194,2220,11,C7734
1710,1705,11,G6340
1650,608,11,D1687
1961,1984,11,C6876
1447,1469,11,C6892
1469,1983,11,C6894
218,592,11,G8024
1832,1429,11,C6901
899,480,11,C5809
1294,1475,11,G111
1931,658,11,D3254
1446,2218,11,C6856
28,162,11,C5818
2218,1986,11,C6836
788,838,11,C3382
1276,919,11,D5752
718,2083,11,C6913
1271,1809,11,G6923
170,483,11,C5808
463,949,11,G7862
1360,2417,11,K5104
2092,925,11,G1656
293,4,11,C2702
2086,861,11,G1091
202,1017,11,D6718
541,921,11,G3106
917,1373,11,G8610
1760,1678,11,G6955
