station_train_code,train_no
K5133,01000K51330E
K5135,01000K513540
K5136,01000K513606
K5139,0h000K513901
K5141,04000K51410B
K5143,01000K514301
K5145,04000K514502
K5146,04000K514602
K5148,02000K51480C
K5149,01000K514910
K5150,03000K515000
K5151,01000K515140
K5152,02000K515220
K5157,02000K515702
K5158,02000K515802
K5159,01000K515902
K5160,01000K516001
K5165,0h000K516500
K5166,01000K516600
K5169,02000K516901
K5170,02000K517002
K5172,04000K51720C
K5174,03000K51740C
K5176,05000K517606
K5179,01000K517900
K5180,01000K518001
K5181,01000K518106
K5182,01000K518202
K5183,01000K518303
K5184,01000K518401
K5185,01000K518502
K5186,01000K518602
K5189,01000K518909
K5190,02000K519004
K5191,01000K519103
K5192,03000K519203
K5193,01000K519330
K5194,04000K519400
K5195,01000K519520
K5196,01000K519600
K5201,24000K520131
K5202,26000K520221
K5203,25000K52030C
K5204,26000K520409
K5205,24000K520502
K5206,26000K520606
K5207,24000K520707
K5208,26000K520807
K5211,24000K52111Q
K5212,26000K52121Q
K5215,24000K521536
K5216,26000K521637
K5218,26000K52180W
K5221,24000K52210L
K5222,26000K52220H
K5225,24000K522524
K5226,26000K522624
K5229,24000K522908
K5230,26000K523008
K5235,24000K523504
K5236,26000K523604
K5251,24000K525116
K5253,25000K525317
K5258,24000K525808
K5259,26000K525905
K5262,26000K526209
K5269,25000K526902
K5270,26000K527002
K5275,26000K527505
K5276,26000K527604
K5281,24000K528100
K5282,25000K528220
K5292,26000K52920E
K5294,25000K52940E
K5297,25000K52970H
K5307,28000K530700
K5308,27000K530810
K5315,28000K531501
K5316,27000K531602
K5317,27000K531700
K60,4100000K6020
K62,5f00000K62B1
K600,630000K6000Q
K601,240000K6010Q
K602,270000K60201
K603,240000K6030U
K604,270000K60432
K606,560000K60640
K608,430000K60800
K609,240000K6090O
K610,410000K6100J
K612,570000K6120U
K614,480000K6140N
K626,850000K62600
K628,870000K62800
K642,650000K64200
K644,420000K64400
K652,760000K65250
K654,710000K65410
K655,330000K6550P
K656,560000K65680
K666,550000K66600
K668,160000K66801
K671,280000K6710F
K672,410000K6720K
K675,650000K6750G
K677,480000K67740
K681,240000K6811G
K683,130000K6830F
K685,670000K6850C
K688,670000K6850C
K691,330000K6910V
K692,800000K6920Q
K6106,80000K610609
